$
HA=1,HC=826617,HB=3485,HD=20210809,HI=104425,HO=,HM=71,IS=XPLOG GeoTech AB 20161104,IK=1.0,HK=21s07,HQ=Johan,CH0=25,CH1=6,CH2=100,CH3=10000,CH4=25,CH5=25
#
D=3.825,A=3.187,W=3.187,AK=105318,AKZ=3416,B=3.6,C=56.2,R=56,P=0.600,PR=0.000,SP=0.148
D=3.850,A=3.567,W=3.567,AK=105319,AKZ=3418,B=78.9,C=2.5,R=63,P=0.663,PR=0.000,SP=0.096
D=3.875,A=6.777,W=6.777,AK=105319,AKZ=3422,B=91.0,C=2.2,R=63,P=0.647,PR=0.000,SP=0.140
D=3.900,A=2.677,W=2.677,AK=105320,AKZ=3428,B=16.9,C=11.9,R=61,P=0.636,PR=0.000,SP=7.030
D=3.925,A=0.427,W=0.427,AK=105320,AKZ=3433,B=36.8,C=5.4,R=62,P=0.628,PR=0.000,SP=11.434
D=3.950,A=2.807,W=2.807,AK=105321,AKZ=3437,B=88.2,C=2.3,R=62,P=0.728,PR=0.000,SP=9.275
D=3.975,A=0.467,W=0.467,AK=105321,AKZ=3441,B=31.6,C=6.3,R=62,P=0.704,PR=0.000,SP=11.447
D=4.000,A=0.427,W=0.427,AK=105322,AKZ=3447,B=36.9,C=5.4,R=62,P=0.684,PR=0.000,SP=13.100
D=4.025,A=0.907,W=0.907,AK=105322,AKZ=3451,B=75.1,C=2.7,R=57,P=0.566,PR=0.000,SP=9.567
D=4.050,A=4.027,W=4.027,AK=105323,AKZ=3455,B=60.3,C=3.3,R=54,P=0.533,PR=0.000,SP=9.743
D=4.075,A=5.297,W=5.297,AK=105323,AKZ=3459,B=47.7,C=4.2,R=58,P=0.609,PR=0.000,SP=10.329
D=4.100,A=3.297,W=3.297,AK=105324,AKZ=3468,B=21.2,C=9.4,R=61,P=0.614,PR=0.000,SP=11.330
D=4.125,A=1.067,W=1.067,AK=105325,AKZ=3474,B=46.0,C=4.4,R=60,P=0.710,PR=0.000,SP=10.605
D=4.150,A=0.947,W=0.947,AK=105325,AKZ=3478,B=56.3,C=3.6,R=62,P=0.669,PR=0.000,SP=9.360
D=4.175,A=1.327,W=1.327,AK=105326,AKZ=3482,B=76.6,C=2.6,R=62,P=0.581,PR=0.000,SP=9.636
D=4.200,A=2.677,W=2.677,AK=105326,AKZ=3486,B=65.2,C=3.1,R=62,P=0.632,PR=0.000,SP=9.744
